document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
0029bdbe75423337b551e42bb31f9a102785376f,train,Who did Ben married in secrete ?,Arabella Manson,Arabella Mason.,Who did Ben married in secrete ?,Arabella Manson,Arabella Mason .
0029bdbe75423337b551e42bb31f9a102785376f,train,Who was Percival Kneene?,Arabella and Been son,Ben and Arabella's son,Who was Percival Kneene ?,Arabella and Been son,Ben and Arabella s son
0029bdbe75423337b551e42bb31f9a102785376f,train,Who was  Percival biological father?,Captain  Delmar,Captain Delmar,Who was Percival biological father ?,Captain Delmar,Captain Delmar
0029bdbe75423337b551e42bb31f9a102785376f,train,Who did Percival reunited with?,Minnie,minnie,Who did Percival reunited with ?,Minnie,minnie
0029bdbe75423337b551e42bb31f9a102785376f,train,Who was Minnie?,A Heiress,Daughter  to the dutch merchant,Who was Minnie ?,A Heiress,Daughter to the dutch merchant
00936497f5884881f1df23f4834f6739552cee8b,train,Who was Dr. Ferguson's man servant?,Joe. ,Joe,Who was Dr. Ferguson s man servant ?,Joe .,Joe
00936497f5884881f1df23f4834f6739552cee8b,train,Who accompanied Dr.Samuel Ferguson on  his trip to Africa?,"His friend, Richard ""Dick"" Kennedy and his manservant Joe","His manservant Joe and pro hunter Richard ""Dick"" Kennedy",Who accompanied Dr.Samuel Ferguson on his trip to Africa ?,"His friend , Richard Dick Kennedy and his manservant Joe",His manservant Joe and pro hunter Richard Dick Kennedy
00936497f5884881f1df23f4834f6739552cee8b,train,Who did they rescue from a native tribe?,A missionary man,A missionary,Who did they rescue from a native tribe ?,A missionary man,A missionary
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who frees Conan from the pirates who knocked him unconscious?,Olivia,Olivia,Who frees Conan from the pirates who knocked him unconscious ?,Olivia,Olivia
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who else is on the the ship as Conan and Olivia depart the deserted island?,pirates from the ship,A giant man ape was aboard the ship.,Who else is on the the ship as Conan and Olivia depart the deserted island ?,pirates from the ship,A giant man ape was aboard the ship .
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who Fled the city of Akif?,Olivia,Olivia,Who Fled the city of Akif ?,Olivia,Olivia
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who was the dark figure?,A giant man ape,Man-ape.,Who was the dark figure ?,A giant man ape,Man-ape .
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,"Who was made ""Queen of the Blue Sea""?",Olivia,olivia ,Who was made Queen of the Blue Sea ?,Olivia,olivia
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who does the mad man who defeats Olivia's pursuer turn out to be? ,Conan the Cimmerian.,Conan,Who does the mad man who defeats Olivia s pursuer turn out to be ?,Conan the Cimmerian .,Conan
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who frees Conan from the pirates?,Olivia.,Olivia,Who frees Conan from the pirates ?,Olivia .,Olivia
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who made Conan a captain?,Pirates,Beating the prior captain,Who made Conan a captain ?,Pirates,Beating the prior captain
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who is chasing and pursuing olivia?,Shah Amurath is chasing Olivia.,Shah,Who is chasing and pursuing olivia ?,Shah Amurath is chasing Olivia .,Shah
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who frees Conan from the pirates?,Olivia frees Conan from the pirates.,Olivia frees Conan from the pirates.,Who frees Conan from the pirates ?,Olivia frees Conan from the pirates .,Olivia frees Conan from the pirates .
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who kills the captain of the pirate ship?,Conan kills the captain.,Conan,Who kills the captain of the pirate ship ?,Conan kills the captain .,Conan
00950a3641e6a28b04a6fabf6334140e2deaa9fd,train,Who becomes the new captain of the pirate ship?,Conan becomes the new captain.,Conan becomes the new captain of the pirate ship.,Who becomes the new captain of the pirate ship ?,Conan becomes the new captain .,Conan becomes the new captain of the pirate ship .
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who does Diana represent?,Queen Elizabeth.,Queen Elizabeth ,Who does Diana represent ?,Queen Elizabeth .,Queen Elizabeth
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who is sleeping at the beginning of the play?,Echo,Echo,Who is sleeping at the beginning of the play ?,Echo,Echo
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who enters with Mercury?,Cupid,Cupid,Who enters with Mercury ?,Cupid,Cupid
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who is the 2nd Earl of Essex?,Robert Devereux,Robert Devereux,Who is the 2nd Earl of Essex ?,Robert Devereux,Robert Devereux
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who announces the events that are to come to the dismay of the others on stage?,Anaides,Anaides,Who announces the events that are to come to the dismay of the others on stage ?,Anaides,Anaides
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who awakens Echo?,Mercury,Mercury,Who awakens Echo ?,Mercury,Mercury
00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who does Cynthia represent in the masque?,Queen Elizabeth,Queen Elizabeth,Who does Cynthia represent in the masque ?,Queen Elizabeth,Queen Elizabeth
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who does Maskull accept an invitation from?,Krag,Krag.,Who does Maskull accept an invitation from ?,Krag,Krag .
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is Krag an acquaintance of?,Nightspore,Nightspore.,Who is Krag an acquaintance of ?,Nightspore,Nightspore .
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who does Maskull realize he really is?,Nightspore,Nightspore.,Who does Maskull realize he really is ?,Nightspore,Nightspore .
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who does Krag claim that he is none as on Earth?,Pain,Pain,Who does Krag claim that he is none as on Earth ?,Pain,Pain
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Whose death does he learn is coming soon?,his own,Maskull's own death.,Whose death does he learn is coming soon ?,his own,Maskull s own death .
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who gives the last revelation?,Krag,Krag.,Who gives the last revelation ?,Krag,Krag .
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is Krag to Maskull?,A acquaintance of his friend Nightspore.,An acquaintance ,Who is Krag to Maskull ?,A acquaintance of his friend Nightspore .,An acquaintance
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is missing from the ship when Maskull wakes?,Krag and Nightspore.,Krag and Nightspore,Who is missing from the ship when Maskull wakes ?,Krag and Nightspore .,Krag and Nightspore
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Whom is known on Earth as Pain?,Krag.,Krag,Whom is known on Earth as Pain ?,Krag .,Krag
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who has a revelation about the origin of the universe?,Krag,Nightspore,Who has a revelation about the origin of the universe ?,Krag,Nightspore
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is Nightspore?,Maskull,maskull,Who is Nightspore ?,Maskull,maskull
019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,"Who gave Lisbeth her Christmas present, from which her nickname was derived? ",Jacob.,Her Brother,"Who gave Lisbeth her Christmas present , from which her nickname was derived ?",Jacob .,Her Brother
019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Who is Jacob to Lisbeth?,He is her brother. ,Her brother,Who is Jacob to Lisbeth ?,He is her brother .,Her brother
019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Who owns the farm?,Kjersti Hoel,Kjersti Hoel,Who owns the farm ?,Kjersti Hoel,Kjersti Hoel
019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Who does Lisbeth meet in the seter?,two herdsmen from other farms ,two herdsman,Who does Lisbeth meet in the seter ?,two herdsmen from other farms,two herdsman
01aa10d75658840a478ede17631dba875651c370,train,Who is quoted in the Universal House of Justice?,Baha'u'llah,Baha'u'llah.,Who is quoted in the Universal House of Justice ?,Baha'u'llah,Baha'u'llah .
01aa10d75658840a478ede17631dba875651c370,train,Who is the founder of Baha'i?,Baha'u'llah,Baha'u'llah.,Who is the founder of Baha'i ?,Baha'u'llah,Baha'u'llah .
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who is Emily St. Aubert?,Emily St Aubert is a young french woman who became orphaned after her father died.,A french orphan.,Who is Emily St. Aubert ?,Emily St Aubert is a young french woman who became orphaned after her father died .,A french orphan .
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who is Emily in love with?,Valancourt,valancourt,Who is Emily in love with ?,Valancourt,valancourt
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who became Emily guardian after her father dealth?,Her aunt Madame Cheron,Madame Cheron,Who became Emily guardian after her father dealth ?,Her aunt Madame Cheron,Madame Cheron
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who is marry to Madame Cheron?,Signor Montoni,signor montoni,Who is marry to Madame Cheron ?,Signor Montoni,signor montoni
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who did Montoni tries to force Emily to marry?,Count Morano,Count Morano,Who did Montoni tries to force Emily to marry ?,Count Morano,Count Morano
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who help Emily escape from the castle?,"Du Point ,Annette  and Ludovico",She had help of her secret admirer Du Pont,Who help Emily escape from the castle ?,"Du Point , Annette and Ludovico",She had help of her secret admirer Du Pont
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who is Emily imprisoned by?,"Her aunts husband, Signor Montoni.",aunt's husband,Who is Emily imprisoned by ?,"Her aunts husband , Signor Montoni .",aunt s husband
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who wants Emily to marry Count Morano?,"Montoni, her aunt's husband.",Montoni.,Who wants Emily to marry Count Morano ?,"Montoni , her aunt s husband .",Montoni .
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who helps Emily stay safe in the castle?,"Her secret admirer, Du Pont and the servants Annette and Ludovico.",A prisoner and servants.,Who helps Emily stay safe in the castle ?,"Her secret admirer , Du Pont and the servants Annette and Ludovico .",A prisoner and servants .
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who keeps the property after Madam Cheron's death?,Emily.,Montoni,Who keeps the property after Madam Cheron s death ?,Emily .,Montoni
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who owns the castle in which Emily is imprisoned?,Signor Montoni,Montoni.,Who owns the castle in which Emily is imprisoned ?,Signor Montoni,Montoni .
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who does Emily become romantically involved with?,Valancourt,Valancourt,Who does Emily become romantically involved with ?,Valancourt,Valancourt
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who helps Emily escape the castle?,Du Pont,She had help of her secret admirer Du Pont.,Who helps Emily escape the castle ?,Du Pont,She had help of her secret admirer Du Pont .
02476285f0673b06c7754deed4517e54c50c42b5,train,Who helped Mrs. Twitchit find Tom when he was lost?,Her cousin Ribby.,Ribby,Who helped Mrs. Twitchit find Tom when he was lost ?,Her cousin Ribby .,Ribby
02476285f0673b06c7754deed4517e54c50c42b5,train,Who is the carpenter that came to help get Tom out of the attic?,John Joiner.,john joiner,Who is the carpenter that came to help get Tom out of the attic ?,John Joiner .,john joiner
02476285f0673b06c7754deed4517e54c50c42b5,train,Who are Moppet and Mittens to Tom Kitten?,His sisters.,his sisters,Who are Moppet and Mittens to Tom Kitten ?,His sisters .,his sisters
02476285f0673b06c7754deed4517e54c50c42b5,train,Who did Tom Kittens meet in the attic?,Samuel Whiskers and Anna Maria.,The rats:  Samuel Whiskers and Anna Maria,Who did Tom Kittens meet in the attic ?,Samuel Whiskers and Anna Maria .,The rats : Samuel Whiskers and Anna Maria
02476285f0673b06c7754deed4517e54c50c42b5,train,Who rescued Tom Kittens?, John Joiner.,John Joiner,Who rescued Tom Kittens ?,John Joiner .,John Joiner
026723e23a4f1b279e20d9d2d3746a1dc4543b2d,train,Who is Minna von Barnhelm's missing lover?,Major von Tellheim,Major Tellheim,Who is Minna von Barnhelm s missing lover ?,Major von Tellheim,Major Tellheim
026723e23a4f1b279e20d9d2d3746a1dc4543b2d,train,Who left the sealed envelope for Tellheim?,Paul Werner,Paul Werner,Who left the sealed envelope for Tellheim ?,Paul Werner,Paul Werner
026723e23a4f1b279e20d9d2d3746a1dc4543b2d,train,Who left the money with the Major?,Paul Werner,Paul Werner,Who left the money with the Major ?,Paul Werner,Paul Werner
026723e23a4f1b279e20d9d2d3746a1dc4543b2d,train,Who left the money for Major Tellheim?,Paul Werner,Paul Werner,Who left the money for Major Tellheim ?,Paul Werner,Paul Werner
026723e23a4f1b279e20d9d2d3746a1dc4543b2d,train,Who recognized the ring?,Minna von Barnhelm,Minna von Barnhelm,Who recognized the ring ?,Minna von Barnhelm,Minna von Barnhelm
026723e23a4f1b279e20d9d2d3746a1dc4543b2d,train,Who helped Minna pretend to be poor?,"Her maid, Franziska",Her maid,Who helped Minna pretend to be poor ?,"Her maid , Franziska",Her maid
026723e23a4f1b279e20d9d2d3746a1dc4543b2d,train,Who else found that they had an attraction to each other?,Paul Werner and Franziska,Paul Werner and Franziska,Who else found that they had an attraction to each other ?,Paul Werner and Franziska,Paul Werner and Franziska
026723e23a4f1b279e20d9d2d3746a1dc4543b2d,train,Who is Minna von Barnhelm to Major Tellheim?,Fiance,His Fiance,Who is Minna von Barnhelm to Major Tellheim ?,Fiance,His Fiance
026723e23a4f1b279e20d9d2d3746a1dc4543b2d,train,Who sends the letter that restores Major Tellheim honor?,The King,From the King,Who sends the letter that restores Major Tellheim honor ?,The King,From the King
02eb19e46391a42912c60b7d0a072fc8684dfbd6,test,Who is the teller of this story?,Jenny.,Jenny ,Who is the teller of this story ?,Jenny .,Jenny
02eb19e46391a42912c60b7d0a072fc8684dfbd6,test,Who is Jenny describing in the tale?,Kitty Baldry.,"Her cousin by mariage, Kitty Baldry.",Who is Jenny describing in the tale ?,Kitty Baldry .,"Her cousin by mariage , Kitty Baldry ."
02eb19e46391a42912c60b7d0a072fc8684dfbd6,test,Who is the man Kittys married to?,Chris Baldry?,Chris Baldry,Who is the man Kittys married to ?,Chris Baldry ?,Chris Baldry
02eb19e46391a42912c60b7d0a072fc8684dfbd6,test,Who sent Margaret to see Kitty?,The war office.,The War Office. ,Who sent Margaret to see Kitty ?,The war office .,The War Office .
02eb19e46391a42912c60b7d0a072fc8684dfbd6,test,Who does Chris think is his true love?,Margaret.,Margaret,Who does Chris think is his true love ?,Margaret .,Margaret
02eb19e46391a42912c60b7d0a072fc8684dfbd6,test,Who is Margaret Grey?,She is a former girlfriend of Kitty from long before the war. ,The daughter of the innkeeper. ,Who is Margaret Grey ?,She is a former girlfriend of Kitty from long before the war .,The daughter of the innkeeper .
02eb19e46391a42912c60b7d0a072fc8684dfbd6,test,Who tells Kitty that her husband was injured?,Margaret Grey,Margaret,Who tells Kitty that her husband was injured ?,Margaret Grey,Margaret
02eb19e46391a42912c60b7d0a072fc8684dfbd6,test,Who was Margaret's father?,the Monkey Island innkeeper,The inkeeper,Who was Margaret s father ?,the Monkey Island innkeeper,The inkeeper
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who falls in love with Kyla?,Jason Allison.,Jason Allison,Who falls in love with Kyla ?,Jason Allison .,Jason Allison
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who pleads to the Old Ones for the Sky People for assistance?,Regis Hastur.,Regis,Who pleads to the Old Ones for the Sky People for assistance ?,Regis Hastur .,Regis
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who does Dr. Forth convince to be hypnotized?,Dr. Jay Allison,Dr. Jay Allison,Who does Dr . Forth convince to be hypnotized ?,Dr. Jay Allison,Dr. Jay Allison
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who is Jason Allison?,Dr. Jay Allison's other personality,Dr. Jay Allison's secondary personality,Who is Jason Allison ?,Dr. Jay Allison s other personality,Dr. Jay Allison s secondary personality
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who attacks Jason's expedition group on their way to the Hellers?,A group of hostile Trailwomen,Trailwomen,Who attacks Jason s expedition group on their way to the Hellers ?,A group of hostile Trailwomen,Trailwomen
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who congratulates Dr. Allison on the development of the serum to treat 48-year-fever?,Regis Hastur,Regis Hastur,Who congratulates Dr. Allison on the development of the serum to treat 48-year-fever ?,Regis Hastur,Regis Hastur
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who is Jason Allison?,Dr. Jay Allison's secondary personality,Second personality.,Who is Jason Allison ?,Dr. Jay Allison s secondary personality,Second personality .
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who leads the expedition into the Hellers?,Jason,Jason Allison,Who leads the expedition into the Hellers ?,Jason,Jason Allison
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who do they encounter inside the trailmen's tree habitat?,The old ones of the sky people,The Old Ones,Who do they encounter inside the trailmen s tree habitat ?,The old ones of the sky people,The Old Ones
03690ff2154ebecb454ea267cec529358ab6923b,test,Who is Mrs. Baines to Sophia and Constance?,Their mother.,Their mother.,Who is Mrs. Baines to Sophia and Constance ?,Their mother .,Their mother .
03690ff2154ebecb454ea267cec529358ab6923b,test,Who did Sophia elope with?,A travelling salesman.,A travelling salesman,Who did Sophia elope with ?,A travelling salesman .,A travelling salesman
03690ff2154ebecb454ea267cec529358ab6923b,test,Who details the adolescence of Sophia and Constance?,Mrs. Baines,Mrs Banies,Who details the adolescence of Sophia and Constance ?,Mrs. Baines,Mrs Banies
03690ff2154ebecb454ea267cec529358ab6923b,test,Who is the main adult in Sophia and Constances life?,Mrs. Baines,Mrs. Baines,Who is the main adult in Sophia and Constances life ?,Mrs. Baines,Mrs. Baines
03690ff2154ebecb454ea267cec529358ab6923b,test,Who does Sophia elope with?,A travelling salesman,A traveling salesman.,Who does Sophia elope with ?,A travelling salesman,A traveling salesman .
03690ff2154ebecb454ea267cec529358ab6923b,test,Whose death does Constance deal with in the second part?,Her husband,Her husbands. ,Whose death does Constance deal with in the second part ?,Her husband,Her husbands .
03690ff2154ebecb454ea267cec529358ab6923b,test,Who abandons Sophia in Paris?,Her husband,Her husband,Who abandons Sophia in Paris ?,Her husband,Her husband
03690ff2154ebecb454ea267cec529358ab6923b,test,Who was Mrs Banies?,Sophia and Constance mother,Sophia and Constance's mom,Who was Mrs Banies ?,Sophia and Constance mother,Sophia and Constance s mom
03690ff2154ebecb454ea267cec529358ab6923b,test,Whom did Sophia eloped with?,A travelling salesman.,A traveling salesman.,Whom did Sophia eloped with ?,A travelling salesman .,A traveling salesman .
03690ff2154ebecb454ea267cec529358ab6923b,test,Who was Constance husband?,Mr Povey,Mr. Povey.,Who was Constance husband ?,Mr Povey,Mr. Povey .
03a048c35b81d8a422e0efd0d5de016b63659869,train,Who is Isidore Beautrelet?,A young amateur detective.,A gifted high school detective.,Who is Isidore Beautrelet ?,A young amateur detective .,A gifted high school detective .
03a048c35b81d8a422e0efd0d5de016b63659869,train,Who built the Chateau de l'Aiguille?,"Louis XIV, the King of France",Louis XIV,Who built the Chateau de l'Aiguille ?,"Louis XIV , the King of France",Louis XIV
03a048c35b81d8a422e0efd0d5de016b63659869,train,"Who is believed, in the story, to have mastered the secret of the Hollow Needle?",Arsene Lupin.,Arsene Lupin,"Who is believed , in the story , to have mastered the secret of the Hollow Needle ?",Arsene Lupin .,Arsene Lupin
03a048c35b81d8a422e0efd0d5de016b63659869,train,Who built the Chateau de l'Aiguille?,"Louis XIV, the King of France.",Louis XIV,Who built the Chateau de l'Aiguille ?,"Louis XIV , the King of France .",Louis XIV
03a048c35b81d8a422e0efd0d5de016b63659869,train,Who is Louis Valmeras?,Arsene Lupin.,Arsene Lupin,Who is Louis Valmeras ?,Arsene Lupin .,Arsene Lupin
03a048c35b81d8a422e0efd0d5de016b63659869,train,Who is the young but gifted amateur detective?,Isidore Beautrelet,Isidore Beautrelet,Who is the young but gifted amateur detective ?,Isidore Beautrelet,Isidore Beautrelet
03a048c35b81d8a422e0efd0d5de016b63659869,train,Who was the Chateau built by?,Louis XIV,Louis the 15th,Who was the Chateau built by ?,Louis XIV,Louis the 15th
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Who is Dragon?,the farmer's cat,A cat.,Who is Dragon ?,the farmer s cat,A cat .
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Who Killed Mr. Frisby?,Dragon,"Dragon, the cat",Who Killed Mr. Frisby ?,Dragon,"Dragon , the cat"
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Who put Ms. Frisby in a cage?,Billy,Billy.,Who put Ms. Frisby in a cage ?,Billy,Billy .
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Who saves Ms. Frisby from the cage?,Justin,Justin,Who saves Ms. Frisby from the cage ?,Justin,Justin
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Who helped the rats escape from NIMH?,Mr. Frisby and Mr. Ages,Mrs. Frisby,Who helped the rats escape from NIMH ?,Mr. Frisby and Mr. Ages,Mrs. Frisby
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Who rescued Timothy's mother from the cage?,Justin,Justin,Who rescued Timothy s mother from the cage ?,Justin,Justin
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Who is the head of the field mice?,Mrs. Frisby,Mrs. Frisby is the head of the field mice.,Who is the head of the field mice ?,Mrs. Frisby,Mrs. Frisby is the head of the field mice .
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Who is the farmer on the property?,Mr. Fitzgibbon,Mr. Fitzgibbon.,Who is the farmer on the property ?,Mr. Fitzgibbon,Mr. Fitzgibbon .
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Who gives Mrs. Frisby medication for Timothy?,Mr. Ages,Mr. Ages.,Who gives Mrs. Frisby medication for Timothy ?,Mr. Ages,Mr. Ages .
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Whose life does Mrs. Frisby save from the Cat?,Jeremy,"Jeremy, a young crow.",Whose life does Mrs. Frisby save from the Cat ?,Jeremy,"Jeremy , a young crow ."
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Who is the leader of the rats?,Nicodemus,Nicodemus,Who is the leader of the rats ?,Nicodemus,Nicodemus
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Who catches Mrs. Frisby?,Billy,Billy.,Who catches Mrs. Frisby ?,Billy,Billy .
04c16e307a71d8af0af39d10542144f7c059f17c,train,Who shall not come under dominion of another state?,Independent states,Independent states.,Who shall not come under dominion of another state ?,Independent states,Independent states .
04d0a3d15a1e39a94524a3958e433a88ca01fdf9,test,"Who saves the 4 orphans; Edward, Humphrey, Alice and Edith?",Jacob Armitage,Jacob Armitage,"Who saves the 4 orphans ; Edward , Humphrey , Alice and Edith ?",Jacob Armitage,Jacob Armitage
04d0a3d15a1e39a94524a3958e433a88ca01fdf9,test,Who been awarded the old Arnwood estate?,Heatherstone,Heatherstone,Who been awarded the old Arnwood estate ?,Heatherstone,Heatherstone
04d0a3d15a1e39a94524a3958e433a88ca01fdf9,test,Who eventually falls in love with Edward?,Patience,Patience. ,Who eventually falls in love with Edward ?,Patience,Patience .
04d0a3d15a1e39a94524a3958e433a88ca01fdf9,test,Who are the four orphan children of the Arnwood house?,"Edward, Humphrey, Alice and Edith",William Humphrey Alice Edith,Who are the four orphan children of the Arnwood house ?,"Edward , Humphrey , Alice and Edith",William Humphrey Alice Edith
04d0a3d15a1e39a94524a3958e433a88ca01fdf9,test,Who rescues the children from fire at Arnwood?,Jacob Armitage,Jacob Armitage,Who rescues the children from fire at Arnwood ?,Jacob Armitage,Jacob Armitage
04d0a3d15a1e39a94524a3958e433a88ca01fdf9,test,Who does Edward work for as a secretary?,Heatherstone,Heatherstone,Who does Edward work for as a secretary ?,Heatherstone,Heatherstone
04d0a3d15a1e39a94524a3958e433a88ca01fdf9,test,Who does Edward love?,Patience,Patience.,Who does Edward love ?,Patience,Patience .
04d0a3d15a1e39a94524a3958e433a88ca01fdf9,test,Who does Edward feel betrayed by and why?,Edward feels betrayed by Heatherstone when he learns that Heatherstone was awarded the Arnwood estate.,"Patience, because she supposedly does not return his feelings of love.",Who does Edward feel betrayed by and why ?,Edward feels betrayed by Heatherstone when he learns that Heatherstone was awarded the Arnwood estate .,"Patience , because she supposedly does not return his feelings of love ."
04d0a3d15a1e39a94524a3958e433a88ca01fdf9,test,Who takes charge of the children after Armitage's death?,Edward,Edward,Who takes charge of the children after Armitage s death ?,Edward,Edward
04d0a3d15a1e39a94524a3958e433a88ca01fdf9,test,Who was originally defeated that caused the soldiers to first search for the New Forest?,King Charles I,King Charles I,Who was originally defeated that caused the soldiers to first search for the New Forest ?,King Charles I,King Charles I
04d0a3d15a1e39a94524a3958e433a88ca01fdf9,test,Who lives in Arnwood?,Colonel Beverly.,Colnel Beverly's Children,Who lives in Arnwood ?,Colonel Beverly .,Colnel Beverly s Children
04d0a3d15a1e39a94524a3958e433a88ca01fdf9,test,Who are the orphans in the house saved by?,Jacob Armitage.,Jacob Armitage ,Who are the orphans in the house saved by ?,Jacob Armitage .,Jacob Armitage
